,name,price,above_100
0,"['William', 'Dixon']",109.03727959999999,True
1,"['Kristen', 'Horn']",262.5246522,True
2,"['Kimberly', 'Chang']",187.00725830000002,True
3,"['Mary', 'Ball']",283.1746476,True
4,"['Benjamin', 'Craig']",143.87158169999998,True
5,"['Cathy', 'Werner']",61.50899135,False
6,"['Brandon', 'Bell']",48.6373091,False
7,"['Paul', 'Farley']",12.38946479,False
8,"['Sarah', 'Mcdaniel']",151.5954472,True
9,"['Caroline', 'Anderson']",75.62152103,False
10,"['Carl', 'Jones']",147.0294047,True
11,"['Scott', 'Lee']",244.18565269999996,True
12,"['Kaylee', 'Coleman']",17.86427032,False
13,"['Charles', 'Parker']",215.537283,True
14,"['Susan', 'Hess']",38.35997063,False
15,"['Kiara', 'Collier']",204.1825486,True
16,"['Mr.', 'Scott', 'Martinez']",165.8514289,True
17,"['Christopher', 'Ortega']",30.30144506,False
18,"['Michael', 'Russell']",243.17249109999997,True
19,"['Dwayne', 'Johnson']",287.49328560000004,True
20,"['Patty', 'Smith']",180.2344257,True
21,"['Deanna', 'Sherman']",99.79911842,False
22,"['Douglas', 'Francis']",161.7688908,True
23,"['Vicki', 'Diaz']",18.64987672,False
24,"['Robin', 'Phillips']",244.9119836,True
25,"['Travis', 'Rice']",141.4988254,True
26,"['Ashley', 'Rocha']",50.00303731,False
27,"['Sarah', 'Jacobson']",80.48182457,False
28,"['Kayla', 'Shannon']",98.91531394,False
29,"['Sean', 'Wang', 'DDS']",220.62821769999996,True
30,"['Richard', 'Estrada']",49.16869151,False
31,"['Joseph', 'Torres']",150.1237842,True
32,"['Kim', 'Jones']",18.8434377,False
33,"['Melissa', 'Tanner']",269.1840299,True
34,"['Jackson', 'Cline']",64.31251721,False
35,"['Sonya', 'Foster']",296.2155012,True
36,"['Allen', 'Williams']",15.390831699999998,False
37,"['Mr.', 'Thomas', 'Rivera']",95.22843716,False
38,"['Jamie', 'Silva']",296.8244075,True
39,"['Kathleen', 'Moore']",92.50052419,False
40,"['Evelyn', 'Pineda']",169.2289293,True
41,"['Kyle', 'Peters']",106.79909520000001,True
42,"['Anthony', 'Cruz']",49.10199817,False
43,"['Eric', 'Flores']",122.9556986,True
44,"['Anna', 'Richardson']",254.49526060000002,True
45,"['Gary', 'Harper']",47.59652592,False
46,"['Linda', 'Johnson']",115.3627815,True
47,"['Melissa', 'Smith']",87.97994846,False
48,"['Kristen', 'Floyd']",135.02304130000002,True
49,"['William', 'Diaz']",192.1491355,True
50,"['Benjamin', 'Smith']",134.9052939,True
51,"['David', 'Glenn']",216.2910463,True
52,"['Dawn', 'Jones']",271.6144999,True
53,"['Joel', 'Smith']",14.4949198,False
54,"['Mr.', 'Larry', 'Grimes', 'MD']",268.6758682,True
55,"['Joseph', 'Arnold']",121.77504679999998,True
56,"['Kyle', 'Long']",241.62163909999998,True
57,"['Brittany', 'Day']",261.5460574,True
58,"['Bobby', 'Ward']",63.5130358,False
59,"['Thomas', 'Lee']",254.07557709999998,True
60,"['Jennifer', 'Hansen']",101.48873520000001,True
61,"['Lisa', 'Murray']",176.0919174,True
62,"['Meghan', 'Wade']",273.2303409,True
63,"['Tammie', 'Brooks']",84.88856949,False
64,"['Maria', 'Bell']",264.07466519999997,True
65,"['Allison', 'Livingston']",130.3484426,True
66,"['Chris', 'Hays']",17.34276379,False
67,"['Courtney', 'Mitchell']",78.93257699,False
68,"['Shawn', 'White']",188.0219256,True
69,"['Taylor', 'Gomez']",225.01982369999996,True
70,"['Jeremy', 'Rodriguez']",200.7248208,True
71,"['April', 'Garcia']",66.24555967,False
72,"['Zachary', 'Watts']",15.49738786,False
73,"['Sarah', 'Montoya']",206.82125469999997,True
74,"['Jennifer', 'Barker']",89.18615989,False
75,"['Sharon', 'Garza']",72.35772704,False
76,"['Tiffany', 'Stevens']",196.379322,True
77,"['Ruben', 'Armstrong']",93.69836738,False
78,"['Dr.', 'Jeffrey', 'Spencer']",271.162282,True
79,"['Nicole', 'Ramsey']",247.8596071,True
80,"['Anne', 'Roy']",277.9324821000001,True
81,"['Lori', 'Sanchez']",285.6616405,True
82,"['Allison', 'Chavez']",126.85021100000002,True
83,"['Marcus', 'Adams']",36.47040894,False
84,"['Mary', 'Smith']",16.31507197,False
85,"['Joseph', 'Reed']",178.45767419999999,True
86,"['Jason', 'Armstrong']",26.04525746,False
87,"['Jeff', 'Armstrong']",88.47561284,False
88,"['Sean', 'Shields']",247.83952549999998,True
89,"['Jessica', 'Allison']",104.742308,True
90,"['Christian', 'Grant']",99.11707917,False
91,"['Edward', 'Watson']",180.35355890000002,True
